class_selectivity,prompt,steer=-10_selectivity,steer=-9_selectivity,steer=-8_selectivity,steer=-7_selectivity,steer=-6_selectivity,steer=-5_selectivity,steer=-4_selectivity,steer=-3_selectivity,steer=-2_selectivity,steer=-1_selectivity,steer=0_selectivity,steer=1_selectivity,steer=2_selectivity,steer=3_selectivity,steer=4_selectivity,steer=5_selectivity,steer=6_selectivity,steer=7_selectivity,steer=8_selectivity,steer=9_selectivity,steer=10_selectivity,class_completeness,steer=-10_completeness,steer=-9_completeness,steer=-8_completeness,steer=-7_completeness,steer=-6_completeness,steer=-5_completeness,steer=-4_completeness,steer=-3_completeness,steer=-2_completeness,steer=-1_completeness,steer=0_completeness,steer=1_completeness,steer=2_completeness,steer=3_completeness,steer=4_completeness,steer=5_completeness,steer=6_completeness,steer=7_completeness,steer=8_completeness,steer=9_completeness,steer=10_completeness,harmonic_mean_steer=-10,harmonic_mean_steer=-9,harmonic_mean_steer=-8,harmonic_mean_steer=-7,harmonic_mean_steer=-6,harmonic_mean_steer=-5,harmonic_mean_steer=-4,harmonic_mean_steer=-3,harmonic_mean_steer=-2,harmonic_mean_steer=-1,harmonic_mean_steer=0,harmonic_mean_steer=1,harmonic_mean_steer=2,harmonic_mean_steer=3,harmonic_mean_steer=4,harmonic_mean_steer=5,harmonic_mean_steer=6,harmonic_mean_steer=7,harmonic_mean_steer=8,harmonic_mean_steer=9,harmonic_mean_steer=10
positive,Give a commanding explanation demonstrating absolute confidence.,0.4266282317115353,0.4368480271310563,0.45000416723601,0.4680155447091048,0.493561914911339,0.5309559983492665,0.5856469758426791,0.6613595704408987,0.7603965842643867,0.8736710142407487,1.0,,,,,,,,,,,positive,0.8399789544744323,0.8399789544744319,0.8399789544743573,0.8399789544589957,0.8399789512924859,0.8399782995258346,0.8398442630028732,0.8184132773516244,0.6579289634293425,0.2929845388663593,0.0,,,,,,,,,,,0.565856154821651,0.5747734883114185,0.5860449234449385,0.601108350479061,0.6217756503635653,0.6506387903603106,0.6900810603435031,0.7315520816047417,0.7054613622292472,0.4388134930597291,0.0,,,,,,,,,,
positive,Provide a clear and unwavering statement of certainty.,0.3036200246742317,0.3284313405002439,0.3580922964341706,0.3922611578515492,0.4347127903424651,0.4944370400714358,0.576541827014245,0.6739428242873242,0.783727998627391,0.8973793100618079,1.0,,,,,,,,,,,positive,0.8390827150563204,0.8390827150563204,0.8390827150563157,0.8390827150553896,0.8390827148645498,0.8390826755794978,0.8390745795381134,0.83742743732825,0.7247582920697897,0.21804549331429,0.0,,,,,,,,,,,0.44589429217469806,0.4720817870841984,0.5019634613967594,0.5346021766670601,0.5727135742210354,0.6222233531601513,0.6834642334589539,0.7468430821781643,0.7530905242366402,0.35084303981805653,0.0,,,,,,,,,,
positive,Deliver a bold interpretation with strong conviction.,0.3212134481354012,0.3341746207344265,0.3494851324257683,0.3690354016403427,0.3951573797880415,0.4321067226080396,0.4897923715530056,0.582686988228292,0.7141485317070442,0.8629291415179258,1.0,,,,,,,,,,,positive,0.8221884187805961,0.8221884187805956,0.8221884187804914,0.8221884187589971,0.8221884143295561,0.8221875032339393,0.8220001502201781,0.794194217743629,0.6124126069198552,0.3565712369754963,0.0,,,,,,,,,,,0.4619512782952471,0.4752045743929608,0.49048240121253656,0.5094200235838953,0.5337740863253302,0.5664902860462713,0.613830916567584,0.6721954440197317,0.6593794304624285,0.5046258563582884,0.0,,,,,,,,,,
positive,Share a decisive perspective grounded in firm belief.,0.3367240041328128,0.3477862732450606,0.3673129912214125,0.3990342610266849,0.4449447082580985,0.506030007086675,0.58578157093763,0.6858146453999819,0.7918946965116206,0.8927686368295377,1.0,,,,,,,,,,,positive,0.8453782030449174,0.8453782030449167,0.8453782030447957,0.8453782030198521,0.8453781978812248,0.845377139961668,0.8451596758322951,0.8139853190857237,0.6582903976385753,0.2060845921204809,0.0,,,,,,,,,,,0.4816150952217753,0.4928254914759022,0.512114539862985,0.5421592539071165,0.5830270141440146,0.6330974363426436,0.6919626696340266,0.7444233446971619,0.718938122805616,0.3348688533313517,0.0,,,,,,,,,,
positive,Offer a confident conclusion expressed with authority.,0.2609668180215644,0.2858190416705878,0.3226713334183783,0.3747167234017583,0.4444845394238204,0.5283257633380752,0.6128988154148785,0.6956634415499454,0.7877557104766213,0.8926966267463053,1.0,,,,,,,,,,,positive,0.7767970392485151,0.7767970392485147,0.7767970392484432,0.7767970392337247,0.7767970361983366,0.7767964114626336,0.7766679163234491,0.7555811245125863,0.6231419433385443,0.3830540155119726,0.0,,,,,,,,,,,0.39068281316815906,0.4178807178195964,0.45594787932239955,0.5055585972739968,0.5654294304481151,0.6289090247155465,0.6851327611879299,0.7243853692761459,0.6958458297454162,0.536078158508873,0.0,,,,,,,,,,
positive,Give a powerful analysis that leaves no room for doubt.,0.5187534147566984,0.5265693007950946,0.5357185159409434,0.5473110148240756,0.5641403621714204,0.5904658438423416,0.6293875878376507,0.6876933310515165,0.7709714483355118,0.8777834729360933,1.0,,,,,,,,,,,positive,0.8561979281162663,0.8561979281162663,0.8561979281162642,0.8561979281158267,0.8561979280257165,0.8561979094818281,0.8561940880902238,0.8554124143068629,0.7869452058303233,0.3587981417022334,0.0,,,,,,,,,,,0.6460673699039545,0.6520946330284944,0.6590641059820741,0.6677642622579422,0.6801419246957102,0.6989262293419071,0.7254773541648418,0.7624382378031849,0.7788764353694485,0.5093834085484412,0.0,,,,,,,,,,
positive,Provide a strong and assured evaluation with clarity.,0.2454707372623878,0.2756166684856087,0.3139108511318029,0.3596913025588286,0.413458435911328,0.4788762187026149,0.5632276676021597,0.6699779105692746,0.7866644747603094,0.9000651845404353,1.0,,,,,,,,,,,positive,0.7992061892609045,0.7992061892609029,0.7992061892605973,0.7992061891976149,0.7992061762154918,0.7992035016980806,0.7986565311869951,0.7497574085205682,0.62294518683816,0.2175576319425014,0.0,,,,,,,,,,,0.37558354649496234,0.40988065285287956,0.45076930097513884,0.49610516417612976,0.5449792667886864,0.5988977757147698,0.6605928105717367,0.7076261261380322,0.6952972323597701,0.3504152693638163,0.0,,,,,,,,,,
positive,Write an assertive summary projecting total confidence.,0.365523290033889,0.3737078115041177,0.3847158856158641,0.4000516273273057,0.4220469772971292,0.4559682998599916,0.5126004551098319,0.6019158910631075,0.7193200859545024,0.8550081973518316,1.0,,,,,,,,,,,positive,0.7663383113565214,0.7663383113565213,0.76633831135649,0.7663383113500379,0.7663383100202463,0.7663380361140523,0.7662816563050854,0.7559480369129389,0.6510362219862572,0.3969199329069864,0.0,,,,,,,,,,,0.49496245919456944,0.5024123278279243,0.5122652311426459,0.5256816410582044,0.5443197097485748,0.5717484089886767,0.614280741372986,0.6701954840409978,0.683476886186441,0.5421553971435287,0.0,,,,,,,,,,
positive,Deliver a firm argument supported by decisive reasoning.,0.2549975115100122,0.2666421930332949,0.2822653404601886,0.3054200326459806,0.3437148479511923,0.4086676004378823,0.5042824849574847,0.6253798515696946,0.7610330623401715,0.8908261510633962,1.0,,,,,,,,,,,positive,0.8387651370519668,0.8387651370519666,0.8387651370519196,0.8387651370422041,0.8387651350396,0.8387647225182637,0.8386797969335803,0.8224571201168804,0.5071374224074543,0.2185079805960643,0.0,,,,,,,,,,,0.39109586155791276,0.4046475348886244,0.42238695865169223,0.4477870930761213,0.4876125346794006,0.5495704418996932,0.629848712483216,0.7105055634847792,0.6086694971123733,0.35093596739847,0.0,,,,,,,,,,
positive,Offer a confident declaration communicated with certainty.,0.2981060501099549,0.3196735838655564,0.3485114811642601,0.387170929797487,0.4397274234606305,0.5062260181730005,0.5795199475080766,0.6584180932440099,0.7559652806294238,0.8765954497962587,1.0,,,,,,,,,,,positive,0.8078164901840804,0.8078164901840804,0.8078164901840773,0.8078164901834378,0.8078164900516462,0.8078164629213704,0.8078108744643534,0.8066655304830695,0.6931965493826703,0.3205202883234254,0.0,,,,,,,,,,,0.4355006328715157,0.45807515022340034,0.48694371921953,0.5234583333355203,0.569469435026705,0.6224117063532193,0.6748823109119084,0.7250414541051068,0.723221538316456,0.46940595193078877,0.0,,,,,,,,,,
